Archive	﻿StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	project-open-contrib	project-open-contrib_3_TEXT	project-user-count	project-user-count_7_TEXT	project-user-potentl	project-user-potentl_7_TEXT	project-interns	you-github-user	ProjectPseudonym	consent-optional	you-role	leadership-team-size	you-paid	you-paid_5_TEXT	funds-grant-funds	funds-others-pick-up	funds-others-now	funds-others-in-past	future-funding-plans	future-one-year	future-one-year_6_TEXT	future-five-years	future-five-years_6_TEXT	future-cant-maintain	future-cant-maintain_6_TEXT	anything-else
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 06:34:55	2021-11-18 08:46:54	IP Address	[Anonymised]	100	7919	True	2021-11-18 08:46:55	R_2ztC6ajoXkzUYwW			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		1000-10,000		About 10	[Anonymised]	Project95	Yes	Yes	4	Other, please specify	Yes, but core funding has ended and we are seeking new funding	Yes	Yes	4	4	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	My colleagues/employees would continue to work on this"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 09:35:21	2021-11-18 09:36:28	IP Address	[Anonymised]	100	67	True	2021-11-18 09:36:29	R_1OoY5lV8oPex6jK			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10		1, funded by the Canadian National Research Council	[Anonymised]	Project82	Yes	Yes	1	Yes, as a staff member with a temporary or fixed-term contract		Yes	No	0	2	Yes	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this,	I would close the project down,	I would provide periodic but rare updates when I could."		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 10:30:05	2021-11-18 10:37:13	IP Address	[Anonymised]	100	427	True	2021-11-18 10:37:14	R_C37WhNnBK0xhFu1			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		20-50		0	[Anonymised]	Project14	Yes	yes	1	No		No	Yes	0	0	No	still active and being maintained/updated, me still contributing		"	finalised with occasional updates"		"	I would provide periodic but rare updates when I could."		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 11:13:44	2021-11-18 11:16:10	IP Address	[Anonymised]	100	146	True	2021-11-18 11:16:11	R_3Rf2cJbTlIvOSeF			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		Yes. We have had a total of 2 interns working on this project, paid through a grant I received.	[Anonymised]	Project33	Yes	Yes	2	Yes, as a staff member with a permanent contract		Yes	No	0	1	Yes	still active and being maintained/updated, me still contributing		"	finalised with occasional updates"		"	I would provide periodic but rare updates when I could."		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 11:46:38	2021-11-18 11:51:05	IP Address	[Anonymised]	100	266	True	2021-11-18 11:51:05	R_UPCvzpsah0XxrS9			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		50-100		0	[Anonymised]	Project34	Yes	yes	5	Yes, as a student		No	Yes	0	0	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this"		"Determining if I'm paid / if others are paid for the project is hard. Currently, 6 of the 7 contributors are PhD students. I'm the only one currently planning on putting it in my dissertation (and hence I counted myself as being paid to work on it), but that might change.

I'm not planning on seeking funding, but I have an informal arrangement with my advisor for a post-defense job that will involve me working on this project."
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 12:41:32	2021-11-18 12:44:11	IP Address	[Anonymised]	100	158	True	2021-11-18 12:44:11	R_riNzkXAU2YdyIx3			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		50-100		100-1000		0	[Anonymised]	Project92	Yes	yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	0	0	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	I would continue to provide updates in my free time,	I would provide periodic but rare updates when I could."		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 18:45:09	2021-11-18 18:47:47	IP Address	[Anonymised]	100	157	True	2021-11-18 18:47:47	R_1od0eoX5ndyFEkl			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		Other, please specify	2-5 contributors, 25-50 users	Other, please specify	~5 contributors, > 100 users	0	[Anonymised]	Project13	Yes	Yes	2	No		No	No	0	0	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-19 06:14:29	2021-11-19 06:19:49	IP Address	[Anonymised]	100	319	True	2021-11-19 06:19:49	R_AKSIMXgkIqGfj57			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		Other, please specify	5 code contributors, around 2000 downloads from conda-forge	20-50		Academic contributed to the project as part of their job	[Anonymised]	Project28	Yes	yes	1	Yes, as a staff member with a permanent contract		No	No	3	Nobody was directly paid, but updates were made as part of their job as the research institute	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would provide periodic but rare updates when I could."		"On the first page you asked for users and contributors at the same time.
I know of multiple users of the project, but their are only 5 official contributors."
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-19 02:36:01	2021-11-19 09:28:27	IP Address	[Anonymised]	100	24746	True	2021-11-19 09:28:27	R_1OpFxQYhx6hyBn0			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		50-100		0	[Anonymised]	Project23	Yes	yes	2	No,Other, please specify	I am not currently funded to work on this project.	No	Yes	0	3	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would provide periodic but rare updates when I could."		We are committed to Project23, still believe it addresses an otherwise unmet opportunity, but are struggling to keep it funded.
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-19 18:52:14	2021-11-19 18:59:39	IP Address	[Anonymised]	100	445	True	2021-11-19 18:59:40	R_2Cs6KA9BPkQ37PI			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		50-100		0	[Anonymised]	Project96	Yes	"I believe so. I'm reponding to this survey thinking of Openscapes as the ""project""; we have many repos where folks contribute, not only the one repo that you are tracking."	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	15		Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	My colleagues/employees would continue to work on this,	I would continue to provide updates in my free time"		We've been able to recently have people be paid to contribute to this work – by their employers as part of their jobs. This is how we've counted 15 people as paid contributors to this project in such a short amount of time. Our funding is from grants and contracts so that we are not reliant on a single funding source.
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-20 11:14:30	2021-11-20 11:16:41	IP Address	[Anonymised]	100	131	True	2021-11-20 11:16:42	R_1lyQlhHrxewhy8u			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		10-20		20-50		0	[Anonymised]	Project16	Yes	yes	3	No		No	Yes	1	0	Yes	still active and being maintained/updated, me still contributing		"	wrapped up and no longer active"		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-21 07:49:11	2021-11-21 07:53:05	IP Address	[Anonymised]	100	233	True	2021-11-21 07:53:05	R_XHv7BpnpKHfdq3D			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		100-1000		0	[Anonymised]	Project100	Yes	Yes	6	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	5	7	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-22 03:26:18	2021-11-22 03:34:28	IP Address	[Anonymised]	100	489	True	2021-11-22 03:34:28	R_xaqpg8YumXbKyY1			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		50-100		No	[Anonymised]	Project132	Yes	Yes	3	Other, please specify	Sort of, my work no the project is tolerated at my day job	Yes	Yes	5	2	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-22 03:53:46	2021-11-22 04:46:57	IP Address	[Anonymised]	100	3191	True	2021-11-22 04:46:58	R_9LXQfay4ewtsPKh			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		50-100		100-1000		0	[Anonymised]	Project76	Yes	yes	5	Yes, as a staff member with a permanent contract		No	Yes	16	16	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	I would provide periodic but rare updates when I could."		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 08:39:01	2021-11-22 10:09:17	IP Address	[Anonymised]	100	351016	True	2021-11-22 10:09:18	R_3HYwytZSVGNY19f			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		0	[Anonymised]	Project97	Yes	yes	3	No		No	Yes	0	0	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-22 14:08:34	2021-11-22 14:10:01	IP Address	[Anonymised]	100	86	True	2021-11-22 14:10:02	R_1QFcKEFbjX778v9			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		10-20		10-20		0	[Anonymised]	Project98	Yes	yes	3	No		No	Yes	1	2	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-23 08:09:31	2021-11-23 08:14:07	IP Address	[Anonymised]	100	275	True	2021-11-23 08:14:08	R_263IedbqGcCqLdf			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		100-1000		0	[Anonymised]	Project86	Yes	Yes	4	Yes, as a staff member with a permanent contract		No	Yes	12	2	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"My community members would keep this project running.,	My colleagues/employees would continue to work on this"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-25 05:37:29	2021-11-25 05:38:55	IP Address	[Anonymised]	100	86	True	2021-11-25 05:38:56	R_1pT3dwFrPzxfzIw			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		0	[Anonymised]	Project99	Yes	Yes	1	Yes, as a staff member with a temporary or fixed-term contract		No	Yes	0	0	Yes	still active and being maintained/updated by my colleagues		"	still active and being maintained/updated by my community"		"	I would continue to provide updates in my free time"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-25 11:50:24	2021-11-25 11:58:37	IP Address	[Anonymised]	100	492	True	2021-11-25 11:58:37	R_3HMLHIhMsfn0WWm			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		Other, please specify	1M+ users, few hundred contributors a year, 15ish regular contributors	Other, please specify	20 regular contributors	5	[Anonymised]	Project73	Yes	Yes	8	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	2	3	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-29 12:54:15	2021-11-29 13:01:18	IP Address	[Anonymised]	100	423	True	2021-11-29 13:01:18	R_2CQCg6wL3YkVqHR			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		50-100		100-1000		0	[Anonymised]	Project31	Yes	yes	5	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	0	2	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"My community members would keep this project running.,	I would provide periodic but rare updates when I could.,Other, please specify"	I suspect the project would continue to exist (be updated), but with no new features.	Our user number (as asked for in the users/contributors/maintainers question) is substantially different than our contributors/maintainers number, and it's the latter I'm most interested in increasing. Our actual user number may already be in the goal category (as best as we can estimate from downloads), but our contributor number is definitely not.
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-12-02 04:07:28	2021-12-02 04:09:24	IP Address	[Anonymised]	100	115	True	2021-12-02 04:09:24	R_2nkv4TqFQlLwwlb			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10		1	[Anonymised]	Project106	Yes	yes	1	No		No	No	0	2	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would continue to provide updates in my free time"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-12-02 04:11:51	2021-12-02 04:15:46	IP Address	[Anonymised]	100	234	True	2021-12-02 04:15:46	R_1obuQU6uEdUFPrM			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		1000-10,000		~10	[Anonymised]	Project108	Yes	Yes	10	Other, please specify	Yes, as a contractor	No	Yes	5	10	Yes	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-12-08 09:28:49	2021-12-08 09:31:36	IP Address	[Anonymised]	100	166	True	2021-12-08 09:31:36	R_2e22Od31NG5a6oW			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		1000-10,000		0	[Anonymised]	Project2	Yes	Yes	1	Yes, as a staff member with a temporary or fixed-term contract		No	Yes	0	3	No	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this,	I would close the project down"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-12-10 02:38:14	2021-12-10 02:42:25	IP Address	[Anonymised]	100	250	True	2021-12-10 02:42:25	R_307YVHjkQ9NUqju			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10		0	[Anonymised]	Project10	Yes	maintainer	2	No		Yes	Yes	1	1	Yes	still active and being maintained/updated, me still contributing		"	finalised with occasional updates"		"	My colleagues/employees would continue to work on this"		For the user id I've provided mine and the organisation that owns the repo ([Anonymised]). 
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-12-21 05:47:15	2021-12-21 05:59:59	IP Address	[Anonymised]	100	763	True	2021-12-21 05:59:59	R_2464RclLhlVEjdz					[Anonymised]	[Anonymised]	anonymous	EN	Yes		20-50		100-1000		30	[Anonymised]	Project79	Yes	same	8-10	Other, please specify	contributions to open source count towards my job ad a departmental lecturer	No	Yes	0	20	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-12-21 09:07:41	2021-12-21 09:10:23	IP Address	[Anonymised]	100	161	True	2021-12-21 09:10:23	R_2OO1i5i82feZ3gu					[Anonymised]	[Anonymised]	anonymous	EN	Yes		1-10		1-10		0	[Anonymised]	Project85	Yes	Yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	No	6	7	No	"	wrapped up and no longer active"		"	wrapped up and no longer active"		"	I would continue to provide updates in my free time"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-12-21 11:28:08	2021-12-21 11:32:09	IP Address	[Anonymised]	100	240	True	2021-12-21 11:32:10	R_122PkfuyxN2k3la					[Anonymised]	[Anonymised]	anonymous	EN	Yes		20-50		50-100		10	[Anonymised]	Project112	Yes	yes	5	Yes, as a staff member with a permanent contract		No	Yes	0	4	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
