Archive	﻿StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	project-open-contrib	project-open-contrib_3_TEXT	project-user-count	project-user-count_7_TEXT	project-user-potentl	project-user-potentl_7_TEXT	project-interns	you-github-user	ProjectPseudonym	consent-optional	you-role	leadership-team-size	you-paid	you-paid_5_TEXT	funds-grant-funds	funds-others-pick-up	funds-others-now	funds-others-in-past	future-funding-plans	future-one-year	future-one-year_6_TEXT	future-five-years	future-five-years_6_TEXT	future-cant-maintain	future-cant-maintain_6_TEXT	anything-else
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 11:07:11	2022-05-31 11:15:55	IP Address	[Anonymised]	100	524	True	2022-05-31 11:15:56	R_7WYGNz4bRrTHt2p			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		50-100		0	[Anonymised]	Project23	Yes	not really, funding reached an end and I am now unable to devote much time to	2	No		No	No	0	2	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would provide periodic but rare updates when I could."		As part of a funded project we tried to create enough to demonstrate utility and need and start a community. We hoped to use this to attract more funding. At this stage we have not succeeded in those objectives.
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 08:37:12	2022-05-31 11:34:59	IP Address	[Anonymised]	100	10667	True	2022-05-31 11:34:59	R_SDxq09vMBdiwiad			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		1	[Anonymised]	Project88	Yes	Yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	1	3	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		Regarding the questions about numbers of users / contributors / community members, the software for the Project88 web application ([Anonymised URL]) itself is contributed to only by a handful of developers, but the actual website ([Anonymised URL]) has thousands of users.
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 16:12:57	2022-05-31 16:14:21	IP Address	[Anonymised]	100	84	True	2022-05-31 16:14:22	R_3mmGhaYdVYHRkWn			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		0	[Anonymised]	Project16	Yes	Yes	2-3	No		No	Yes	1	No	No	still active and being maintained/updated, me still contributing		"	wrapped up and no longer active"		My community members would keep this project running.		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-01 09:53:48	2022-06-01 09:55:08	IP Address	[Anonymised]	100	79	True	2022-06-01 09:55:08	R_dgIDJ7hA7OM95xT			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		20-50		0	[Anonymised]	Project34	Yes	Yes	7	Yes, as a student		No	Yes	5	6	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"My community members would keep this project running.,	My colleagues/employees would continue to work on this,	I would continue to provide updates in my free time"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-01 14:10:00	2022-06-01 14:13:58	IP Address	[Anonymised]	100	237	True	2022-06-01 14:13:58	R_3maxHK202ntw0IE			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		50-100		50-100		1	[Anonymised]	Project13	Yes	Yes	2	No		No	Yes	0	0	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"My community members would keep this project running.,	I would provide periodic but rare updates when I could."		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-02 07:28:08	2022-06-02 07:31:48	IP Address	[Anonymised]	100	220	True	2022-06-02 07:31:48	R_DOf5YmoUQy7tWdH			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		20-50		0	[Anonymised]	Project96	Yes	yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	5	7	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	My colleagues/employees would continue to work on this"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 11:55:45	2022-06-03 08:26:17	IP Address	[Anonymised]	100	246632	True	2022-06-03 08:26:18	R_1jTfbUJDmMSUPII			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		10-20		20-50		10+ undergraudate interns/students.	[Anonymised]	Project110	Yes	Yes	4	Yes, as a staff member with a permanent contract		No	Yes	5, yes	30	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	My colleagues/employees would continue to work on this"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-08 02:32:52	2022-06-08 02:33:57	IP Address	[Anonymised]	100	65	True	2022-06-08 02:33:58	R_31Nvsg5lh6WznBb			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10			[Anonymised]	Project82	Yes	Yes	1	No,Other, please specify	Project funding ended in late 2021	Yes	No	1	5	Yes	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	I would provide periodic but rare updates when I could."		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-08 06:54:50	2022-06-08 06:59:34	IP Address	[Anonymised]	100	283	True	2022-06-08 06:59:35	R_PUNUgWXG0doREnn			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10		Yes, 2	[Anonymised]	Project15	Yes	Yes	1	No,Other, please specify		No	No	0	0	Yes	"	finalised with occasional updates"		"	finalised with occasional updates"		"My community members would keep this project running.,	I would provide periodic but rare updates when I could."		Regarding funding for Project15, at this point I'm not sure.  Much of the functionality has been subsumed by other 'toolkit' projects ([Anonymised],[Anonymised], etc) and Perl isn't a growing language.  But there is functionality present that hasn't been made available elsewhere that might be of general use, so funding to identify and port any remaining useful functionality might be possible.
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-08 07:51:33	2022-06-08 07:54:16	IP Address	[Anonymised]	100	163	True	2022-06-08 07:54:17	R_2U0pk6BMGqtYRGE			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		0	[Anonymised]	Project97	Yes	yes	2	No		No	No	0	1	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would continue to provide updates in my free time"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-08 08:30:08	2022-06-08 08:35:18	IP Address	[Anonymised]	100	309	True	2022-06-08 08:35:18	R_Y3u7AtLDatPqne1			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		1000-10,000		0	[Anonymised]	Project100	Yes	Yes	7	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	5	8	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		Challenging to maintain open-source project funding long-term
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-08 13:43:12	2022-06-08 13:47:10	IP Address	[Anonymised]	100	237	True	2022-06-08 13:47:10	R_1ovg8U6HX1Je4CF			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		50-100		yes - one summer graduate research assistant	[Anonymised]	Project31	Yes	yes	5	Yes, as a staff member with a temporary or fixed-term contract		Yes	No	0	3	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would provide periodic but rare updates when I could."		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-09 00:43:58	2022-06-09 00:57:35	IP Address	[Anonymised]	100	816	True	2022-06-09 00:57:35	R_D8206kbudsNGvPH			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		100-1000		0	[Anonymised]	Project2	Yes	No - I am no longer the community coordinator and no longer maintain this project.	1	Other, please specify	It was, but not anymore, as I changed jobs; but it will presumably be part of the job of the person who is taking over.	No	Yes	1	"3-4 (Before the project ""rebranded"" in Sep 2020 – I'm now not sure if I had answer the same in previous surveys, sorry) "	No	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this"		I'm not sure if my answers match my previous questionnaires' - sorry! Community members/contributors here are calculated based on the number of members who signed up - most of them are not active on GitHub (but instead of Slack, mailing lists, physical events, etc). As I have left the role and the project in [Anonymised date], some of the questions are a bit tricky to answer.
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-09 02:01:46	2022-06-09 02:02:56	IP Address	[Anonymised]	100	69	True	2022-06-09 02:02:56	R_1mqF7UthdmomToD			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	No		1-10		1-10			[Anonymised]	Project85	Yes	no	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	No			No	"	finalised with occasional updates"		"	wrapped up and no longer active"		"	I would close the project down"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-13 04:36:05	2022-06-13 04:43:25	IP Address	[Anonymised]	100	440	True	2022-06-13 04:43:26	R_3nNx5DAaK6yuhp6			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		Other, please specify	~9000 users, ~20 contributors, ~ 50 more or less active community members	Other, please specify	Users: > 10,000, contributors: 20+, community members: 20 sustainably active members would be great!	No	[Anonymised]	Project132	Yes	Yes	2, expected to be quite a few more within the year due to new governance structure coming into place.	Other, please specify	Currently not in the job description, will get a second job for this after summer, then will become part of my job description after I finish my PhD	No	Yes	5	Yes, 2, excluding temporal contributors who did work as part of their job	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-13 11:39:49	2022-06-13 11:45:48	IP Address	[Anonymised]	100	358	True	2022-06-13 11:45:48	R_12lORkPDKo5sMyu			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		3, but not sure, these were researchers at the University as part of their job	[Anonymised]	Project28	Yes	yes	1	Yes, as a staff member with a permanent contract		Yes	Yes	2	2	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-14 12:45:17	2022-06-14 12:48:52	IP Address	[Anonymised]	100	214	True	2022-06-14 12:48:52	R_1157T2B6h30rFNF			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		1000-10,000		Yes - 10 as a best guess	[Anonymised]	Project108	Yes	Yes	12	Other, please specify	Yes, as a contractor	No	Yes	5 as a best guess	15 as a best guess	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-06-14 17:38:11	2022-06-14 17:42:36	IP Address	[Anonymised]	100	264	True	2022-06-14 17:42:36	R_dbCdlI9piCF6xTb			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		Other, please specify	1M-5M	Other, please specify	10000000	~7	[Anonymised]	Project73	Yes	yes	4-10	Yes, as a staff member with a permanent contract,Other, please specify	Partial salary support from [Private philanthropy] and soon from [Government agency]	Yes	Yes	1-3 (1 full time, several people are able to spend work hours on it)	4	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-05 05:38:25	2022-07-05 05:40:03	IP Address	[Anonymised]	100	97	True	2022-07-05 05:40:03	R_3rZhqAWQSXLCFgK					[Anonymised]	[Anonymised]	anonymous	EN	Yes		1000-10,000		1000-10,000		0	[Anonymised]	Project18	Yes	Yes	1	No		No	No	0	0	No	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	I would continue to provide updates in my free time,	I would provide periodic but rare updates when I could."		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-05 05:45:19	2022-07-05 05:47:48	IP Address	[Anonymised]	100	149	True	2022-07-05 05:47:48	R_3PMpe7nueI50O86					[Anonymised]	[Anonymised]	anonymous	EN	Yes		50-100		1000-10,000		0	[Anonymised]	Project86	Yes	Yes	4	Yes, as a staff member with a permanent contract		No	Yes	At least 11	3	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-05 05:56:19	2022-07-05 05:58:59	IP Address	[Anonymised]	100	159	True	2022-07-05 05:58:59	R_3GqxCtU6w801xjW					[Anonymised]	[Anonymised]	anonymous	EN	Yes		1-10		1-10		2	[Anonymised]	Project33	Yes	Yes	1	Yes, as a staff member with a permanent contract		Yes	No	1	2	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would close the project down"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-06 02:45:47	2022-07-06 02:49:01	IP Address	[Anonymised]	100	193	True	2022-07-06 02:49:01	R_ue7aIqgXlA65UFX					[Anonymised]	[Anonymised]	anonymous	EN	Yes		1000-10,000		1000-10,000		50	[Anonymised]	Project79	Yes	yes	10	Yes, as a staff member with a temporary or fixed-term contract		No	Yes	0	25	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-07 06:29:50	2022-07-07 06:32:48	IP Address	[Anonymised]	100	178	True	2022-07-07 06:32:49	R_3Ib18CsmBW8oELq					[Anonymised]	[Anonymised]	anonymous	EN	Yes		1-10		1-10		0	[Anonymised]	Project10	Yes	yes	2	Yes, as a staff member with a temporary or fixed-term contract		No	Yes	2	0	Yes	still active and being maintained/updated, me still contributing		"	finalised with occasional updates"		"	I would continue to provide updates in my free time"		As this is academic software it is mostly maintained by PhD students. In our case we work collaboratively with an industry partner. In the future you may want to ask about third-party sponsorship.
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-07 17:23:07	2022-07-07 17:28:28	IP Address	[Anonymised]	100	320	True	2022-07-07 17:28:28	R_wWVkNhrt5rz4EH7					[Anonymised]	[Anonymised]	anonymous	EN	Yes		50-100		100-1000		2	[Anonymised]	Project111	Yes	Yes	2	Yes, as a staff member with a permanent contract		Yes	Yes	1.05	Only recently yes. Otherwise yes only 2008-2011, at the very start.	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"My community members would keep this project running.,	I would provide periodic but rare updates when I could."		👍🏽
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-11 04:00:10	2022-07-11 04:03:17	IP Address	[Anonymised]	100	187	True	2022-07-11 04:03:18	R_8cCD3fWJiHJY7sd					[Anonymised]	[Anonymised]	anonymous	EN	Yes		10-20		20-50		1	[Anonymised]	Project113	Yes	yes	2	Yes, as a staff member with a permanent contract		No	Yes	0	8	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-07-14 06:05:26	2022-07-15 05:58:30	IP Address	[Anonymised]	100	85983	True	2022-07-15 05:58:30	R_3L1lmnX2ztOjZzp					[Anonymised]	[Anonymised]	anonymous	EN	Yes		100-1000		100-1000		Yes. 10 at best guess.	[Anonymised]	Project108	Yes	Yes	12	Other, please specify	Yes, as a contractor	No	Yes	5	20	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		My community members would keep this project running.		
