Archive	ProjectPseudonym	﻿StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	screening-q	consent-read-pis	consent-voluntary	consent-anon-publish	consent-regulatory	consent-institutes	consent-optional	consent-overall	consent-signed	project-name	project-founded	project-urls	project-open-contrib	project-open-contrib_3_TEXT	project-user-count	project-user-count_7_TEXT	project-user-potentl	project-user-potentl_7_TEXT	project-interns	you-github-user	you-email	you-role	leadership-team-size	you-paid	you-paid_5_TEXT	funds-grant-funds	funds-others-pick-up	funds-others-now	funds-others-in-past	future-funding-plans	future-one-year	future-one-year_6_TEXT	future-five-years	future-five-years_6_TEXT	future-cant-maintain	future-cant-maintain_6_TEXT	anything-else	funds-others-in-past - Parent Topics	funds-others-in-past - Topics
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project10	2021-05-09 11:35:03	2021-05-09 11:41:00	IP Address	[Anonymised]	100	357	True	2021-05-09 11:41:01	R_3RmdAbErBOuJAqx					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	Jan 2019	https://github.com/[Anonymised]/[Anonymised]	Yes		Other, please specify	0	1-10		0	[Anonymised]	[Anonymised]	founder/maintainer	2	Yes, as a student		Yes	Yes	1	0	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated by my colleagues		"	I would continue to provide updates in my free time"		Funded by two [Government funder] doctoral studentships		Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project12	2021-05-09 12:45:37	2021-05-09 12:45:43	IP Address	[Anonymised]	100	6	True	2021-05-09 12:45:43	R_yVWrRYLr00kObBv					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project13	2021-05-09 14:17:32	2021-05-09 14:31:12	IP Address	[Anonymised]	100	820	True	2021-05-09 14:31:12	R_3KZxc4cmeg11kek					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	August 2013	https://github.com/[Anonymised]/[Anonymised]	Yes		50-100		100-1000		0	[Anonymised]	[Anonymised]	Founder, maintainer	2	"	No"		No	Yes	0	0	Yes	still active and being maintained/updated, me still contributing		"	finalised with occasional updates"		"My community members would keep this project running.,	I would provide periodic but rare updates when I could."		I answered that I was never paid to work on this project mostly because I have been on fixed-term contracts the entire time this project has existed and none of those contracts explicitly mandated developing this project (even as closed-source)		Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project14	2021-05-09 15:01:05	2021-05-09 15:21:17	IP Address	[Anonymised]	100	1211	True	2021-05-09 15:21:17	R_1GJlw9lRSqQa2qy					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	14 Nov 2015	https://github.com/[Anonymised]/[Anonymised]	Yes		10-20		50-100		0	[Anonymised]	[Anonymised]	founder	1	"	No"		No	No	0	0	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would provide periodic but rare updates when I could."				Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project15	2021-05-09 15:57:53	2021-05-09 16:05:09	IP Address	[Anonymised]	100	436	True	2021-05-09 16:05:10	R_2eWF5ClnjlQjnOJ					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	1998	http://github.com/[Anonymised]/[Anonymised]	Yes		1-10		1-10		yes	[Anonymised]	[Anonymised]	maintainer	5-6	"	No"		No	Yes	0	Unsure about this, though the tools in this project had been used extensively (in one form or another) during the early days of genome sequencing and analysis, including the Human Genome Project, so there is very likely code that benefitted from grant funding.	No	Other, please specify	I consider the code essentially frozen due to the nature of Perl in the [domain] ecosystem now.  I am the sole maintainer of the code base, though we do see some sporadic contributions from others.	Other, please specify	Unsure; I anticipate that it may be largely wrapped up, but there are still packages relying on some of the modules in this toolset.	"	I would provide periodic but rare updates when I could."				Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project16	2021-05-09 22:37:05	2021-05-09 22:43:27	IP Address	[Anonymised]	100	382	True	2021-05-09 22:43:28	R_1HbNClNLuIOG6Ou					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	December 2015	GitHub.com/[Anonymised]/[Anonymised]	Yes		1-10		10-20		0	[Anonymised]	[Anonymised]	Founder	5(ish)	"	No"		No	Yes	1	0	Yes	still active and being maintained/updated, me still contributing		"	wrapped up and no longer active"		My community members would keep this project running.				Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project17	2021-05-10 01:25:46	2021-05-10 01:26:02	IP Address	[Anonymised]	100	15	True	2021-05-10 01:26:02	R_3QVsOLMBf99UpYx					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project18	2021-05-10 02:25:32	2021-05-10 03:02:00	IP Address	[Anonymised]	100	2187	True	2021-05-10 03:02:01	R_1EZmVdPDBde0jUh					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2018	https://gitlab.com/[Anonymised]/[Anonymised]	Yes		1000-10,000		Other, please specify	As many academics as possible	0	[Anonymised]	[Anonymised]	Founder and maintainer	1	"	No"		Yes	No	0	0	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would continue to provide updates in my free time"				Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project19	2021-05-10 05:03:27	2021-05-10 05:03:43	IP Address	[Anonymised]	100	15	True	2021-05-10 05:03:43	R_pfun2TpChOhL3Et					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project20	2021-05-10 02:19:54	2021-05-10 05:18:55	IP Address	[Anonymised]	100	10741	True	2021-05-10 05:18:56	R_2TM3iRe70OrGW5L					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2019	https://github.com/[Anonymised]/[Anonymised]	Yes		1-10		10-20		0	[Anonymised]	[Anonymised]	Founder, Maintainer	1	"	No"		No	No	0	0	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would continue to provide updates in my free time,	I would provide periodic but rare updates when I could."				Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project21	2021-05-10 09:44:40	2021-05-10 09:46:19	IP Address	[Anonymised]	100	99	True	2021-05-10 09:46:19	R_333HYi3ozC4FLx9					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project23	2021-05-10 10:02:14	2021-05-10 10:40:56	IP Address	[Anonymised]	100	2321	True	2021-05-10 10:40:56	R_3dRHPuI3blBiMTo					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	January 2020	https://github.com/[Anonymised]/[Anonymised]	Yes		20-50		1000-10,000		0	[Anonymised]	[Anonymised]	co-founder & co-maintainer	2	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	No	3	1	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		Other, please specify	We are a young project and I'm not aware of anyone who would be able to maintain it now, without funding, if I wasn't able. If I became unable now, I would offer it to anyone to take over and aim to provide input when I could. I hope we can move towards being maintainable by others.			Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project24	2021-05-10 13:14:06	2021-05-10 13:14:21	IP Address	[Anonymised]	100	15	True	2021-05-10 13:14:22	R_1M5Tiogn80rLQq8					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project25	2021-05-10 19:08:14	2021-05-10 19:08:35	IP Address	[Anonymised]	100	20	True	2021-05-10 19:08:35	R_2V1GESwyJ8B24sh					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project26	2021-05-11 03:35:17	2021-05-11 03:35:29	IP Address	[Anonymised]	100	11	True	2021-05-11 03:35:29	R_30rh4CoG9JEUuck					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project27	2021-05-11 07:56:45	2021-05-11 07:57:55	IP Address	[Anonymised]	100	69	True	2021-05-11 07:57:56	R_2P5XptIeiHBJpFD					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes		[Anonymised]																														
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project28	2021-05-11 07:58:40	2021-05-11 08:02:08	IP Address		100	208	True	2021-05-11 08:02:08	R_1d0QGiqzFhwNPUK					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2017	https://github.com/[Anonymised]/[Anonymised]	Yes		1-10		1-10		0	[Anonymised]	[Anonymised]	founder	1	"	Yes, as a staff member with a permanent contract"		Yes	No	0	0	Yes	still active and being maintained/updated, me still contributing		"	finalised with occasional updates"		"	I would provide periodic but rare updates when I could."				Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project29	2021-05-12 14:48:18	2021-05-12 14:50:33	IP Address	[Anonymised]	100	135	True	2021-05-12 14:50:33	R_3HFgqHz9p00L6jR					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project31	2021-05-10 08:16:49	2021-05-14 13:48:53	IP Address	[Anonymised]	100	365523	True	2021-05-14 13:48:53	R_1BXBOZQAiVHp6FH					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	June 2019	https://github.com/[Anonymised]/[Anonymised]	Yes		50-100		100-1000		0	[Anonymised]	[Anonymised]	founder, lead developer, lead maintainer, community manager	3	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	No	0	0	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would provide periodic but rare updates when I could."		Several of the questions asked about paid work for contributions to the project; I answered 0 because nobody besides myself has been explicitly paid to work on it, but many have contributed to it under the broad umbrella of their relevant project work, for which they are being paid.		Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project32	2021-05-16 06:47:43	2021-05-16 07:08:59	IP Address	[Anonymised]	100	1276	True	2021-05-16 07:09:00	R_3r1dksGRiCs79F2					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2013	https://github.com/[Anonymised]/[Anonymised]	Yes		100-1000		100-1000		0	[Anonymised]	[Anonymised]	Founder and maintainer	1	Other, please specify	Independent consultant	No	No	2	2	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would provide periodic but rare updates when I could."		"To sustain the software I have been working as an independent consultant. People hire me to fix bugs, develop new features, or provide training. Most of my clients are academic researchers. I started doing this part-time in 2018 and went full-time in 2019 and it is still going great.

In the past I worked in academia myself, but that was horrible: Non-technical academics always get the credit, way too much bureaucracy to take on a consultancy projects, and no clear career paths for people like me.

"		Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project33	2021-05-17 15:40:23	2021-05-17 15:48:33	IP Address	[Anonymised]	100	490	True	2021-05-17 15:48:33	R_Xt594U0tvYAF3rz					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2020	https://github.com/[Anonymised]/[Anonymised]	No		1-10		10-20		2	[Anonymised]	[Anonymised]	Principal Investigator	2	Other, please specify	I received a grant that funds the project, but I am not paid via the project.	Yes	No	0	1	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would close the project down"		We maintain two GitHub repositories for our project, one through an [Anonymised] Enterprise account, and another through a public account (link shared as part of survey responses). We had originally started with an [Anonymised] Enterprise account without realizing that we would never be able to make our repository public, so we created a separate repository through a public account to ensure our materials would be open. When we make changes to our files, we push to both the Enterprise and public accounts, so the two repositories are essentially mirrored. However, we use the Enterprise account for project management - i.e., we post issues, have dev branches, make pull requests, etc., on the Enterprise account, and none of this is seen on the public account. I believe the only way to get access to our Enterprise account would be to have an [Anonymised] email address.		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project34	2021-05-18 11:54:40	2021-05-18 12:02:01	IP Address	[Anonymised]	100	441	True	2021-05-18 12:02:01	R_3jTHofAfpYsIlDQ					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	sprint 2019	https://github.com/[Anonymised]/[Anonymised]	Yes		1-10		50-100		0	[Anonymised]	[Anonymised]	co-founder, developer	5	Yes, as a student		No	Yes	7	7	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this"		For myself and the other people I listed as paid to work on the project -- we're all grad students (and one postdoc), none of us hired to explicitly work on Project34. We're working on it because it's related to our research, so we figured it was worth the effort to go beyond just writing research code and make it more general. But it's in no one's job description and will be part of no one's dissertation.		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project35	2021-05-21 09:49:31	2021-05-21 09:49:41	IP Address	[Anonymised]	100	10	True	2021-05-21 09:49:41	R_1DTHJw9qhQwDdV0					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project36	2021-05-09 09:47:52	2021-05-09 09:48:06	IP Address	[Anonymised]	3	14	False	2021-05-23 09:48:09	R_2UWumOB4BC2aNI7							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project37	2021-05-09 09:55:10	2021-05-09 09:56:10	IP Address	[Anonymised]	3	60	False	2021-05-23 09:56:11	R_2bQnt8jdPimeCXa							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project38	2021-05-09 10:39:42	2021-05-09 10:41:10	IP Address	[Anonymised]	6	88	False	2021-05-23 10:41:11	R_2wQQPTrbmGB21HA							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project39	2021-05-09 10:48:17	2021-05-09 10:48:39	IP Address	[Anonymised]	3	22	False	2021-05-23 10:48:39	R_2pKxf04OeMFNFbD							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project40	2021-05-09 11:22:42	2021-05-09 11:23:11	IP Address	[Anonymised]	6	28	False	2021-05-23 11:23:14	R_2b1NEfkcu0fvuNL							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project41	2021-05-09 12:27:48	2021-05-09 12:27:59	IP Address	[Anonymised]	3	10	False	2021-05-23 12:28:02	R_vBNeclZauBFyqYx							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project42	2021-05-09 12:45:56	2021-05-09 12:46:08	IP Address	[Anonymised]	6	12	False	2021-05-23 12:46:08	R_1mrZ0YycSdvlRah							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project43	2021-05-09 12:56:26	2021-05-09 12:56:40	IP Address	[Anonymised]	3	14	False	2021-05-23 12:56:41	R_dd3GPFeHCjOw2f7							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project44	2021-05-09 13:12:28	2021-05-09 13:12:48	IP Address	[Anonymised]	6	19	False	2021-05-23 13:12:50	R_3j9fMS1pjq8EP5D							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project45	2021-05-09 13:58:46	2021-05-09 13:59:17	IP Address	[Anonymised]	3	31	False	2021-05-23 13:59:21	R_3E6vzEKykInb8rL							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project46	2021-05-09 14:13:18	2021-05-09 15:21:39	IP Address	[Anonymised]	3	4100	False	2021-05-23 15:21:40	R_3nGJXaT6eWfvcls							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project47	2021-05-09 16:01:42	2021-05-09 16:02:20	IP Address	[Anonymised]	6	38	False	2021-05-23 16:02:27	R_yrKeQzxcT5f0xIR							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
